Date	Price	Open	High	Low
5/11/2020	8555	8726	9135.8	8211.1
5/12/2020	8811.4	8555	8967	8526.6
5/13/2020	9312	8811.4	9403.2	8799.5
5/14/2020	9791	9312	9937.8	9267.5
5/15/2020	9313.3	9791	9836.5	9133.6
5/16/2020	9388	9313.3	9580	9224
5/17/2020	9668.2	9388	9877.7	9334.2
5/18/2020	9714.8	9668.2	9941.1	9462.4
5/19/2020	9770.1	9714.8	9877.5	9470.2
5/20/2020	9502	9770.1	9840.6	9305.1
5/21/2020	9059.5	9502	9564	8821.4
5/22/2020	9162.4	9059.5	9257.3	8935.5
5/23/2020	9174.6	9162.4	9304	9088.6
5/24/2020	8711.5	9174.6	9300	8700
5/25/2020	8902	8711.5	8960.8	8628.6
5/26/2020	8845.5	8902	9013.3	8705
5/27/2020	9210.3	8845.5	9225	8822.8
5/28/2020	9589.3	9210.3	9629.6	9121.7
5/29/2020	9426.2	9589.3	9618.5	9352.3
5/30/2020	9706.4	9426.2	9742	9338
5/31/2020	9452.1	9706.4	9707.2	9402.6
6/1/2020	10221	9452.1	10390	9421.8
6/2/2020	9530	10221	10242	9197.4
6/3/2020	9672	9530	9684	9400
6/4/2020	9790.7	9672	9882.1	9477
6/5/2020	9620.5	9790.7	9861.8	9620.5
6/6/2020	9668.4	9620.4	9733	9552.6
6/7/2020	9746.3	9668.4	9814	9402.3
6/8/2020	9783.2	9747.1	9800	9650.4
6/9/2020	9770.8	9784.4	9875.9	9582.1
6/10/2020	9898.8	9771.9	10004	9699.3
6/11/2020	9272.2	9898.8	9972.8	9088.6
6/12/2020	9468.3	9272.2	9544	9246
6/13/2020	9480.8	9468.3	9498.2	9363.6
6/14/2020	9345.4	9480.9	9486	9262
6/15/2020	9433.9	9344.8	9510	8914.9
6/16/2020	9534.4	9435	9589.9	9388.1
6/17/2020	9473.3	9534.4	9566	9261.3
6/18/2020	9400	9473.3	9496.4	9287.2
6/19/2020	9315.5	9400	9439.9	9241.8
6/20/2020	9371.3	9315.5	9401	9178.6
6/21/2020	9298.1	9371.3	9431.1	9292.1
6/22/2020	9697.7	9298.1	9794.2	9285.2
6/23/2020	9635.1	9697.7	9724	9594.7
6/24/2020	9312.1	9635.1	9684.1	9222.3
6/25/2020	9257	9312.1	9344	9012.7
6/26/2020	9173.1	9257	9299	9054.1
6/27/2020	9015.3	9173.1	9199.5	8857.3
6/28/2020	9127.8	9015.3	9193.2	8949.4
6/29/2020	9194.4	9127.8	9242.1	9030.2
